PRODUCT_NUMBER,COM_ID,MODULE_VERSION,UI,SUFFIX,ORDER,RELEASE_YEAR
NA-LX129EL-W,NA-LX129E,2,DRUM_GUI,L/R,1,2025
NA-LX129ER-W,NA-LX129E,2,DRUM_GUI,L/R,2,2025
NA-LX129EL-C,NA-LX129E,2,DRUM_GUI,L/R,3,2025
NA-LX129ER-C,NA-LX129E,2,DRUM_GUI,L/R,4,2025
NA-LX129ERWJ,NA-LX129E,2,DRUM_GUI,L/R,5,2025
NA-LX129ELCJ,NA-LX129E,2,DRUM_GUI,L/R,6,2025
NA-LX129DL-W,NA-LX129D,2,DRUM_GUI,L/R,7,2024
NA-LX129DR-W,NA-LX129D,2,DRUM_GUI,L/R,8,2024
NA-LX129DL-C,NA-LX129D,2,DRUM_GUI,L/R,9,2024
NA-LX129DR-C,NA-LX129D,2,DRUM_GUI,L/R,10,2024
NA-LX129DL-U,NA-LX129D,2,DRUM_GUI,L/R,11,2024
NA-LX129DR-J,NA-LX129D,2,DRUM_GUI,L/R,12,2024
NA-LX129CL-W,NA-LX129C,2,DRUM_GUI,L/R,13,2023
NA-LX129CR-W,NA-LX129C,2,DRUM_GUI,L/R,14,2023
NA-LX129CL-J,NA-LX129C,2,DRUM_GUI,L/R,15,2023
NA-LX129CR-J,NA-LX129C,2,DRUM_GUI,L/R,16,2023
NA-LX129BL-W,NA-LX129B,2,DRUM_GUI,L/R,17,2022
NA-LX129BR-W,NA-LX129B,2,DRUM_GUI,L/R,18,2022
NA-LX129BL-J,NA-LX129B,2,DRUM_GUI,L/R,19,2022
NA-LX129BR-J,NA-LX129B,2,DRUM_GUI,L/R,20,2022
NA-LX129AL-W,NA-LX129A,2,DRUM_GUI,L/R,21,2021
NA-LX129AR-W,NA-LX129A,2,DRUM_GUI,L/R,22,2021
NA-LX129AL-J,NA-LX129A,2,DRUM_GUI,L/R,23,2021
NA-LX129AR-J,NA-LX129A,2,DRUM_GUI,L/R,24,2021
NA-VX900BL-C,NA-VX900B,1,DRUM_GUI,L/R,25,2020
NA-VX900BL-W,NA-VX900B,1,DRUM_GUI,L/R,26,2020
NA-VX900BR-C,NA-VX900B,1,DRUM_GUI,L/R,27,2020
NA-VX900BR-W,NA-VX900B,1,DRUM_GUI,L/R,28,2020
NA-VX900AL-N,NA-VX900A,1,DRUM_GUI,L/R,29,2019
NA-VX900AL-W,NA-VX900A,1,DRUM_GUI,L/R,30,2019
NA-VX900AR-N,NA-VX900A,1,DRUM_GUI,L/R,31,2019
NA-VX900AR-W,NA-VX900A,1,DRUM_GUI,L/R,32,2019
NA-VX9900L-N,NA-VX9900,1,DRUM_GUI,L/R,33,2018
NA-VX9900L-W,NA-VX9900,1,DRUM_GUI,L/R,34,2018
NA-VX9900R-N,NA-VX9900,1,DRUM_GUI,L/R,35,2018
NA-VX9900R-W,NA-VX9900,1,DRUM_GUI,L/R,36,2018
NA-VX9800L-N,NA-VX9800,1,DRUM_GUI,L/R,37,2017
NA-VX9800L-W,NA-VX9800,1,DRUM_GUI,L/R,38,2017
NA-VX9800R-N,NA-VX9800,1,DRUM_GUI,L/R,39,2017
NA-VX9800R-W,NA-VX9800,1,DRUM_GUI,L/R,40,2017
NA-FA12V6-W,NA-FA12V6,2,TOP_TEM,,1,2026
NA-FA12V6WJ,NA-FA12V6,2,TOP_TEM,,2,2026
NA-FA12V5-W,NA-FA12V5,2,TOP_TEM,,3,2025
NA-FA12V5-J,NA-FA12V5,2,TOP_TEM,,4,2025
NA-FA11K5-N,NA-FA11K5,2,TOP_TEM,,5,2025
NA-FA11K5-U,NA-FA11K5,2,TOP_TEM,,6,2025
NA-FA10K5-W,NA-FA10K5,2,TOP_TEM,,7,2025
NA-FA10K5-N,NA-FA10K5,2,TOP_TEM,,8,2025
NA-FA9K5-W,NA-FA9K5,2,TOP_TEM,,9,2025
NA-FA8K5-W,NA-FA8K5,2,TOP_TEM,,10,2025
NA-F10AKE5-S,NA-F10AKE5,2,TOP_TEM,,11,2025
NA-F9AKE5-S,NA-F9AKE5,2,TOP_TEM,,12,2025
NA-F8AKE5-S,NA-F8AKE5,2,TOP_TEM,,13,2025
NA-FA12V3-W,NA-FA12V3,2,TOP_TEM,,14,2024
NA-FA11K3-N,NA-FA11K3,2,TOP_TEM,,15,2024
NA-FA10K3-N,NA-FA10K3,2,TOP_TEM,,16,2024
NA-FA10K3-W,NA-FA10K3,2,TOP_TEM,,17,2024
NA-FA9K3-W,NA-FA9K3,2,TOP_TEM,,18,2024
NA-FA8K3-W,NA-FA8K3,2,TOP_TEM,,19,2024
NA-F10AKE4-S,NA-F10AKE4,2,TOP_TEM,,20,2024
NA-F9AKE4-S,NA-F9AKE4,2,TOP_TEM,,21,2024
NA-F8AKE4-S,NA-F8AKE4,2,TOP_TEM,,22,2024
NA-FA12V2-W,NA-FA12V2,2,TOP_TEM,,23,2023
NA-FA11K2-N,NA-FA11K2,2,TOP_TEM,,24,2023
NA-FA10K2-N,NA-FA10K2,2,TOP_TEM,,25,2023
NA-FA10K2-W,NA-FA10K2,2,TOP_TEM,,26,2023
NA-FA9K2-W,NA-FA9K2,2,TOP_TEM,,27,2023
NA-FA8K2-W,NA-FA8K2,2,TOP_TEM,,28,2023
NA-FW10K2-N,NA-FW10K2,2,TOP_FLS,,29,2023
NA-F10AKE3-S,NA-F10AKE3,2,TOP_TEM,,30,2023
NA-F9AKE3-S,NA-F9AKE3,2,TOP_TEM,,31,2023
NA-F8AKE3-S,NA-F8AKE3,2,TOP_TEM,,32,2023
NA-FW10K1-N,NA-FW10K1,2,TOP_FLS,,33,2022
NA-FA12V1-W,NA-FA12V1,2,TOP_TEM,,34,2022
NA-FA11K1-N,NA-FA11K1,2,TOP_TEM,,35,2022
NA-LX127EL-W,NA-LX127E,2,DRUM_LCD,L/R,1,2025
NA-LX127ER-W,NA-LX127E,2,DRUM_LCD,L/R,2,2025
NA-LX127ELWJ,NA-LX127E,2,DRUM_LCD,L/R,3,2025
NA-SD10UBL-W,NA-SD10UB,2,DRUM_LCD,L,4,2025
NA-SD10UBLWJ,NA-SD10UB,2,DRUM_LCD,L,5,2025
NA-LX127DL-W,NA-LX127D,2,DRUM_LCD,L/R,6,2024
NA-LX127DR-W,NA-LX127D,2,DRUM_LCD,L/R,7,2024
NA-LX127DL-J,NA-LX127D,2,DRUM_LCD,L/R,8,2024
NA-VG2900L-K,NA-VG2900,2,DRUM_LCD,L,9,2024
NA-SD10UAL-W,NA-SD10UA,2,DRUM_LCD,L,10,2024
NA-SD10UAL-J,NA-SD10UA,2,DRUM_LCD,L,11,2024
NA-LX127CL-W,NA-LX127C,2,DRUM_LCD,L/R,12,2023
NA-LX127CR-W,NA-LX127C,2,DRUM_LCD,L/R,13,2023
NA-LX127CL-J,NA-LX127C,2,DRUM_LCD,L,14,2023
NA-VG2800L-K,NA-VG2800,2,DRUM_LCD,L/R,15,2023
NA-VG2800R-K,NA-VG2800,2,DRUM_LCD,L/R,16,2023
NA-VG2800L-S,NA-VG2800,2,DRUM_LCD,L/R,17,2023
NA-VG2800R-S,NA-VG2800,2,DRUM_LCD,L/R,18,2023
NA-LX127BL-W,NA-LX127B,2,DRUM_LCD,L/R,19,2022
NA-LX127BR-W,NA-LX127B,2,DRUM_LCD,L/R,20,2022
NA-LX127BL-J,NA-LX127B,2,DRUM_LCD,L/R,21,2022
NA-LX127BR-J,NA-LX127B,2,DRUM_LCD,L/R,22,2022
NA-VG2700L-K,NA-VG2700,2,DRUM_LCD,L/R,23,2022
NA-VG2700R-K,NA-VG2700,2,DRUM_LCD,L/R,24,2022
NA-VG2700L-S,NA-VG2700,2,DRUM_LCD,L/R,25,2022
NA-VG2700R-S,NA-VG2700,2,DRUM_LCD,L/R,26,2022
NA-LX127AL-W,NA-LX127A,2,DRUM_LCD,L/R,27,2021
NA-LX127AR-W,NA-LX127A,2,DRUM_LCD,L/R,28,2021
NA-LX127AL-J,NA-LX127A,2,DRUM_LCD,L/R,29,2021
NA-LX127AR-J,NA-LX127A,2,DRUM_LCD,L/R,30,2021
NA-VG2600L-K,NA-VG2600,2,DRUM_LCD,L/R,31,2021
NA-VG2600R-K,NA-VG2600,2,DRUM_LCD,L/R,32,2021
NA-VG2600L-S,NA-VG2600,2,DRUM_LCD,L/R,33,2021
NA-VG2600R-S,NA-VG2600,2,DRUM_LCD,L/R,34,2021
NA-VG2500L-X,NA-VG2500,1,DRUM_LCD,L/R,35,2020
NA-VG2500R-X,NA-VG2500,1,DRUM_LCD,L/R,36,2020
NA-VG1500L-S,NA-VG1500,1,DRUM_LCD,L/R,37,2020
NA-VG1500R-S,NA-VG1500,1,DRUM_LCD,L/R,38,2020
NA-VG2400L-X,NA-VG2400,1,DRUM_LCD,L/R,39,2019
NA-VG2400R-X,NA-VG2400,1,DRUM_LCD,L/R,40,2019
NA-VG1400L-S,NA-VG1400,1,DRUM_LCD,L/R,41,2019
NA-VG1400L-W,NA-VG1400,1,DRUM_LCD,L/R,42,2019
NA-VG1400R-S,NA-VG1400,1,DRUM_LCD,L/R,43,2019
NA-VG2300L-X,NA-VG2300,1,DRUM_LCD,L/R,44,2018
NA-VG2300R-X,NA-VG2300,1,DRUM_LCD,L/R,45,2018
NA-VG1300L-P,NA-VG1300,1,DRUM_LCD,L/R,46,2018
NA-VG1300L-S,NA-VG1300,1,DRUM_LCD,L/R,47,2018
NA-VG1300R-S,NA-VG1300,1,DRUM_LCD,L/R,48,2018
NA-VG2200L-X,NA-VG2200,1,DRUM_LCD,L/R,49,2017
NA-VG2200R-X,NA-VG2200,1,DRUM_LCD,L/R,50,2017
NA-VG1200L-P,NA-VG1200,1,DRUM_LCD,L/R,51,2017
NA-VG1200L-S,NA-VG1200,1,DRUM_LCD,L/R,52,2017
NA-VG1200R-S,NA-VG1200,1,DRUM_LCD,L/R,53,2017
